,GEOID,totalpop,party,full_name,gini_index_of_income_inequality,median_household_income,white,black,amerindian_native,asian,hawaiian_pacific,other_race,two_more_races,hispanic_latino,citizen_voters,state_district,lackinsurance,csmoking,diabetes,obesity,ghlth,mhlth,url,twitter
177,0802,812357.0,Democrat,Joe Neguse,0.4629,81753.0,733767.0,7708.0,3519.0,25225.0,265.0,13391.0,28482.0,92806.0,619285.0,CO-02,0.1,0.13,0.057999999999999996,0.19399999999999998,0.111,0.11199999999999999,https://neguse.house.gov,RepJoeNeguse
178,2905,771847.0,Democrat,Emanuel Cleaver,0.4500,52235.0,530873.0,170287.0,2174.0,12887.0,3029.0,23087.0,29510.0,71048.0,573775.0,MO-05,0.16699999999999998,0.207,0.10800000000000001,0.33299999999999996,0.187,0.139,https://cleaver.house.gov,RepCleaver
179,3615,743959.0,Democrat,Ritchie Torres,0.5131,30483.0,128998.0,274909.0,5635.0,17342.0,1700.0,284182.0,31193.0,486485.0,410819.0,NY-15,0.257,0.188,0.141,0.35200000000000004,0.31,0.16399999999999998,https://ritchietorres.house.gov,RepRitchie
180,3915,759569.0,Republican,Steve Stivers,0.4493,63144.0,679312.0,36182.0,1063.0,19593.0,86.0,2709.0,20624.0,17367.0,586092.0,OH-15,0.086,0.191,0.095,0.327,0.159,0.134,https://stivers.house.gov,RepSteveStivers
181,5000,626299.0,Democrat,Peter Welch,0.4473,60782.0,589337.0,7621.0,1743.0,11859.0,139.0,2815.0,12785.0,12450.0,500274.0,VT-00,0.08,0.146,0.076,0.263,0.126,0.122,https://welch.house.gov,PeterWelch
182,0801,841497.0,Democrat,Diana DeGette,0.4903,71198.0,658995.0,65739.0,7236.0,29889.0,1253.0,46922.0,31463.0,227592.0,619349.0,CO-01,0.146,0.14400000000000002,0.068,0.20600000000000002,0.141,0.11199999999999999,https://degette.house.gov,RepDianaDeGette
183,1211,789849.0,Republican,Daniel Webster,0.4381,47017.0,693614.0,55539.0,2713.0,8909.0,31.0,10931.0,18112.0,89397.0,652135.0,FL-11,0.183,0.18,0.133,0.301,0.204,0.12300000000000001,https://webster.house.gov,RepWebster
184,1703,704050.0,Democrat,Marie Newman,0.4589,66862.0,554906.0,35460.0,3459.0,31306.0,158.0,63289.0,15472.0,228203.0,479004.0,IL-03,0.14,0.131,0.087,0.276,0.156,0.106,https://newman.house.gov,RepMarieNewman
185,2706,722715.0,Republican,Tom Emmer,0.3944,82078.0,646833.0,26704.0,2829.0,19476.0,33.0,8805.0,18035.0,25002.0,525551.0,MN-06,0.084,0.15,0.065,0.309,0.113,0.098,https://emmer.house.gov,RepTomEmmer
186,3408,764837.0,Democrat,Albio Sires,0.5084,65465.0,408879.0,74690.0,5422.0,76486.0,0.0,169696.0,29664.0,424366.0,425604.0,NJ-08,0.203,0.156,0.107,0.28600000000000003,0.218,0.134,https://sires.house.gov,RepSires
